image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/02/57/54/64/500_F_257546472_jugpytq1MCSkuhRjfSpg0POcI4KgEBko.jpg;Aurora borealis  Morley  Alberta  Canada;Cavan Images;jpeg;6000x4000;1688x1125;Astrofotografia;1120.99;538.99;32
https://as1.ftcdn.net/jpg/02/59/76/82/500_F_259768235_ae3yyM3fbWSEVP7WZOdmNVNaOHnif9o5.jpg;Northern Lights  Lofoten  Nordland  Norway;RooM The Agency;jpeg;4928x3280;1690x1125;Astrofotografia;1120.99;538.99;92
https://as2.ftcdn.net/jpg/02/81/10/77/500_F_281107779_qWhnExcArLslXDwKn4Mig2wdMvhe7k2o.jpg;Milky way in Pyrenees  Spain;CACTUS Creative Studio\Stocksy;jpeg;3891x7458;996x1908;Astrofotografia;1120.99;538.99;47
https://as1.ftcdn.net/jpg/03/42/93/34/500_F_342933497_e31aPIO2rePj7outmNTtvASMuR8AhMbC.jpg;Astrophotography Setup And Car On Landscape Against Night Sky;sebastian dobras\EyeEm;jpeg;5184x3456;1688x1125;Astrofotografia;1120.99;538.99;24
https://as2.ftcdn.net/jpg/01/78/07/23/500_F_178072349_fLNi4wb9yw2QDfDZ6IOPv76XNYTI6xWb.jpg;Starfields;Michael Shainblum\Stocksy;jpeg;5999x3996;1689x1125;Astrofotografia;1120.99;538.99;20
https://as1.ftcdn.net/jpg/02/68/19/14/500_F_268191485_LagzWldObnJn4TgsT3ik8jvxBC5sqkU2.jpg;Mount Hood and Trillium Lake at night;Adam Nixon\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;83
https://as1.ftcdn.net/jpg/03/68/28/14/500_F_368281442_4P4D6o35CVNi4ZJ7YTLXo1myKbBbJwnD.jpg;Old shed at night with Milky Way vertical;Rosalie Dibben\Austockphoto;jpeg;3648x5472;1125x1688;Astrofotografia;1120.99;538.99;3
https://as1.ftcdn.net/jpg/01/18/55/16/500_F_118551685_nHqcCRLLMU6ULrG8cmS9TuUk14PtjvCN.jpg;Photographer taking picture at night;Westend61;jpeg;4016x6016;1126x1687;Astrofotografia;2240.99;1120.99;8
https://as1.ftcdn.net/jpg/02/84/92/82/500_F_284928252_rzUAQqblpCVtmajNoUBBFXp9T0Yz1Qkj.jpg;Joshua Trees silhouetted against the night sky in Joshua Tree National Park  California  USA;Tandem Stock;jpeg;3750x5625;1125x1688;Astrofotografia;1120.99;538.99;56
https://as1.ftcdn.net/jpg/02/72/47/74/500_F_272477405_yu0T7THYEuRKZq9PijepYLsh7fSHZ6JN.jpg;Milky way above mountain lake.;Justin Mullet\Stocksy;jpeg;3648x5472;1125x1688;Astrofotografia;1120.99;538.99;97
https://as1.ftcdn.net/jpg/02/08/00/96/500_F_208009666_vTaO3nrTE0hiH3wlPaOupJdylsqD2Hmn.jpg;Astrophotography scenes;JavierPardina\Stocksy;jpeg;5304x7952;1126x1688;Astrofotografia;1120.99;538.99;16
https://as2.ftcdn.net/jpg/03/72/61/09/500_F_372610988_pLlqMUaarmdOI4voqBgZ5jUQNOUNFVGv.jpg;Mountain silhouette at night against the Milky Way in the starry sky;Marcos Osorio\ADDICTIVE STOCK;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;89
https://as1.ftcdn.net/jpg/03/69/10/76/500_F_369107639_wvbNiFslmjjZeAB5zIXpvBPwvn9yHDr4.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;69
https://as2.ftcdn.net/jpg/03/80/13/77/500_F_380137722_h6ZKTTwLZgEpxmdd77AsBvBAFznIz1uW.jpg;Milky Way and Stars;Luke Gram\Stocksy;jpeg;3744x5616;1125x1688;Astrofotografia;1120.99;538.99;65
https://as2.ftcdn.net/jpg/02/33/22/89/500_F_233228999_73KKSIFwu6SEg8sg3YRVqIFTUWYmyeQw.jpg;camping truck in remote tajik mountain landscape under the milky way;Stocksy;jpeg;8541x3987;2017x942;Astrofotografia;1120.99;538.99;21
https://as2.ftcdn.net/jpg/01/79/17/53/500_F_179175355_N9Ckq5nO7IPkNBeb5bkix7YvPmHFVR3j.jpg;Small silhouette of man under sky of stars;Evan Dalen\Stocksy;jpeg;2554x3831;1125x1688;Astrofotografia;1120.99;538.99;44
https://as1.ftcdn.net/jpg/03/00/95/88/500_F_300958815_8CF3gzym8fs4nKlCYECRJCINJox7QvBO.jpg;Silhouette of photographer with drone over the milky way on the dark sky background  photographer and transportation with astrophotography concept;Klaud9;jpeg;6000x4000;1688x1125;Astrofotografia;2240.99;1120.99;12
