image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/02/32/62/81/500_F_232628173_Q2rsoQHGBBVgqqSehHs4V84LXEFGEd3V.jpg;Japanese Chrysanthemum (Kiku) Macro;Stocksy;jpeg;3840x5760;1125x1688;Makro;1120.99;538.99;90
https://as2.ftcdn.net/jpg/03/74/99/73/500_F_374997382_VR7M1EvZYxPhU3V4gZfdl8w7ENkMZIMu.jpg;bow tie;Alexey Klementiev\Stocksy;jpeg;5760x3840;1688x1125;Makro;1120.99;538.99;52
https://as2.ftcdn.net/jpg/02/12/73/83/500_F_212738349_xPyT23QwFaUC7bSjvoorzlTel8lWguYT.jpg;Sichuan food;Anna;jpeg;5504x8256;1125x1688;Makro;1120.99;538.99;93
https://as1.ftcdn.net/jpg/02/59/24/46/500_F_259244684_Yh9gdqmk0yYdlJ0rim3S1P18OudhpF6D.jpg;Detail of flowers and plants with waterdrops;Javier Pardina\Stocksy;jpeg;5304x7952;1126x1688;Makro;1120.99;538.99;8
https://as2.ftcdn.net/jpg/03/77/41/17/500_F_377411705_FzhC798lOSOwo4tPBJVimiKm1yhg8gjE.jpg;Abstract muted purple colored clouds in water;Robert Kohlhuber\Stocksy;jpeg;3449x4936;1152x1649;Makro;1120.99;538.99;59
https://as2.ftcdn.net/jpg/02/43/53/57/500_F_243535772_Ikzb21DyGC38OLjDVixdHF8FSe60N4RV.jpg;roasting marshmallow;Ben Goldstein;jpeg;4078x5000;1245x1526;Makro;1120.99;538.99;82
https://as1.ftcdn.net/jpg/02/12/24/16/500_F_212241649_nYfTtuX5utoa2jxI6CcooBV9IV4gkX8N.jpg;Close-up of a cactus plant in the desert ;RooM The Agency;jpeg;2603x2603;1378x1378;Makro;1120.99;538.99;32
https://as2.ftcdn.net/jpg/02/27/51/83/500_F_227518398_hB4ADmpuPgrz11dXWiKGOOmXJa3vAWOi.jpg;Close-up of sea anemone in sea;Cavan for Adobe;jpeg;6502x4295;1696x1120;Makro;2240.99;1120.99;4
https://as1.ftcdn.net/jpg/02/81/31/94/500_F_281319445_ezQQP5fCzA2no2MJlev9fBKT7pdrw9eQ.jpg;Butterfly Macro;ACALU Studio\Stocksy;jpeg;6000x4000;1688x1125;Makro;1120.99;538.99;4
https://as1.ftcdn.net/jpg/03/75/22/62/500_F_375226201_usFIEzemAtuqO8IxkDzoKchx4VYRMPr7.jpg;Close up of a spider web filled with droplets with a green background;Carolyn Lagattuta\Stocksy;jpeg;3578x2443;1668x1139;Makro;1120.99;538.99;21
https://as1.ftcdn.net/jpg/03/75/00/02/500_F_375000215_frzvzM9vhwR3OEqhpeAbzVHyZT9ip9RL.jpg;Abstract macro of pink lily flower;Kerry Murphy\Stocksy;jpeg;5184x3456;1688x1125;Makro;1120.99;538.99;86
https://as2.ftcdn.net/jpg/02/92/00/09/500_F_292000905_QAXrx4r4ju0oBovE5vmT9ZNksbNMJTua.jpg;Plant close-up;Gunnar Gunnarsson;jpeg;6720x4480;1688x1125;Makro;1120.99;538.99;47
https://as2.ftcdn.net/jpg/02/31/67/71/500_F_231677114_ObvzlngzGBXsJuUsy5D1aMZMikAKEJwT.jpg;Shaanxi qinling jumping spiders;View Stock;jpeg;5184x3456;1688x1125;Makro;1120.99;538.99;38
https://as2.ftcdn.net/jpg/02/27/58/77/500_F_227587712_OgiFClhhyh7BdAaWRdP6WuOoUw9WU4xj.jpg;yellow chrysanthemum;alanshapiro\Stocksy;jpeg;3272x4784;1140x1667;Makro;1120.99;538.99;68
https://as2.ftcdn.net/jpg/02/11/00/23/500_F_211002327_gNbFbkQSyEcNoEbxrM6B0N999MVTLtar.jpg;Dahlia on plain background  yellow;Bettina Gueber;jpeg;5000x5000;1378x1378;Makro;1120.99;538.99;63
https://as1.ftcdn.net/jpg/03/37/87/12/500_F_337871253_zgr7wmmhGkNzX0rdcKBP9YlwLf6GCqa1.jpg;Macro Shot Of Fresh Flower Against Black Background;koukichi takahashi\EyeEm;jpeg;2048x1365;2048x1365;Makro;1120.99;538.99;49
https://as1.ftcdn.net/jpg/02/59/25/02/500_F_259250278_h6azWOYYFxXTTqMLyRDIR4hs143ca5c7.jpg;A Freshly Picked Bouquet Of Grape Hyacinth Flowers;ALICIA BOCK PHOTOGRAPHY\Stocksy;jpeg;5760x3840;1688x1125;Makro;1120.99;538.99;72
https://as1.ftcdn.net/jpg/02/36/56/48/500_F_236564824_cft6q6QnNoJ1Gj2fARMWaV7Vinb9Zzg1.jpg;agave;ALAN SHAPIRO\Stocksy;jpeg;3840x5760;1125x1688;Makro;1120.99;538.99;15
https://as2.ftcdn.net/jpg/03/75/20/55/500_F_375205581_3Q4gbWXQqbzc9LDPJYVNE8OiBPzcuMyn.jpg;Praying Mantis Silhouette Behind a Leaf;Brandon Alms\Stocksy;jpeg;3131x4696;1126x1688;Makro;1120.99;538.99;62
https://as2.ftcdn.net/jpg/02/68/06/27/500_F_268062708_aaN1QVJ2FDQNG5ezEiCzfKvALYX1Ucuu.jpg;Snake's Head Fritillary (Fritillaria meleagris)  Emsland  Lower Saxony  Germany  Europe;imageBROKER;jpeg;6971x4648;1688x1126;Makro;1120.99;538.99;59
https://as1.ftcdn.net/jpg/02/32/68/14/500_F_232681472_Qk0bBDSiYgYdM8sOUY3lBN5iZ38xAptQ.jpg;ice cream backgrounds;Stocksy;jpeg;4853x4853;1378x1378;Makro;1120.99;538.99;94
https://as1.ftcdn.net/jpg/02/73/24/06/500_F_273240646_Rx4xQd3FFYAuBls5H0AXqGDnj8yenpg4.jpg;Blueberries dark;The Picture Pantry;jpeg;5419x8129;1125x1688;Makro;1120.99;538.99;38
https://as1.ftcdn.net/jpg/02/15/27/68/500_F_215276834_Og1997nCAFpzFz1CwTNSBf8HscmRMypa.jpg;Autumn leaves in different stages;Marcel\Stocksy;jpeg;4000x6224;1105x1719;Makro;1120.99;538.99;92
https://as1.ftcdn.net/jpg/03/75/21/54/500_F_375215492_uJabd4Dy25kQ6uIfLw49PdCvDmHF9fGt.jpg;Closeup Of Brown Acorn Nuts In Blue Bowl;Kelli Seeger Kim\Stocksy;jpeg;5601x3734;1688x1125;Makro;1120.99;538.99;52
https://as2.ftcdn.net/jpg/02/84/82/59/500_F_284825900_FTSTPeP1xbPWXjSzkWveCWqMk8xG78XD.jpg;Marine life  Liuqiu island  Taiwan;WWC;jpeg;5516x4413;1541x1233;Makro;1120.99;538.99;47
https://as2.ftcdn.net/jpg/01/77/86/47/500_F_177864713_PR6TAiP883S5g7tRXDEfB7UZRxmRay1p.jpg;Nature fly agaric in the forrest;Ina Peters Photographie\Stocksy;jpeg;6000x4000;1688x1125;Makro;1120.99;538.99;11
https://as2.ftcdn.net/jpg/02/71/98/31/500_F_271983173_2AbQw3JTP3UARQGYQOUjwrDrKAIUbJeT.jpg;Snail on a mushroom in the forest  Indonesia;RooM The Agency;jpeg;5184x3456;1688x1125;Makro;1120.99;538.99;1
https://as1.ftcdn.net/jpg/02/94/70/72/500_F_294707273_WqSlsPdwWmglJtUq1MV3OJPrLITkCwnY.jpg;peony petals with raindrops;Kelly Knox\Stocksy;jpeg;4680x3744;1541x1233;Makro;1120.99;538.99;58
https://as1.ftcdn.net/jpg/02/29/29/30/500_F_229293038_LBiU37KEOB6mRA5D8tL1FMr1tqrYHnGS.jpg;Closeup macrophotograph of a thin slice of an orange fruit (Citrus sp.) showing the diverse and abstract cellular structure.;The Nature Gallery\Stocksy;jpeg;5644x3704;1702x1117;Makro;1120.99;538.99;63
https://as1.ftcdn.net/jpg/02/08/85/84/500_F_208858442_agixT5Hhur1eyO675ZuWRfndz7lp2W8T.jpg;Himalayan pink salt in wooden spoon;zocky\Stocksy;jpeg;6418x4279;1688x1126;Makro;1120.99;538.99;99
https://as2.ftcdn.net/jpg/03/74/99/83/500_F_374998376_hbo8KjRKsDRllZrldaV37OHigcHipUBN.jpg;Colorful macro abstract of oil in water;Kerry Murphy\Stocksy;jpeg;4850x3233;1688x1125;Makro;1120.99;538.99;20
https://as2.ftcdn.net/jpg/03/68/27/69/500_F_368276948_axFipdeab2tdHcJQypgI5uIohSJvuHdK.jpg;A close up of a variety of succulent plants;Dani Rendina\Austockphoto;jpeg;3840x5760;1125x1688;Makro;1120.99;538.99;105
