image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/03/84/86/71/500_F_384867137_EdopBpRDBBNqjofgBxX7YpQfK4y4dTfh.jpg;Northern light view from moving ship;Reo FUKUMOTO\Stocksy;jpeg;6564x4376;1688x1125;Niebo;1120.99;538.99;37
https://as2.ftcdn.net/jpg/03/88/88/85/500_F_388888516_BzIf5LjKy0NmMA1ZtLQAo0pjltDe7Ov8.jpg;Milky Way Above The Famous Three Peaks In The Italian Alps;Sergey Lukankin\Stocksy;jpeg;5915x4480;1584x1200;Niebo;1120.99;538.99;99
https://as1.ftcdn.net/jpg/03/76/79/32/500_F_376793272_o8Ng2iUZqiASvNq2WgL3ks15gSTe9kEn.jpg;View of milk way over Mobius Arch in Alabama Hills;Tandem Stock;jpeg;4953x3241;1704x1115;Niebo;1120.99;538.99;67
https://as2.ftcdn.net/jpg/02/57/54/83/500_F_257548395_8yQ5aNrceLcpXtRlJsXgKUt80jf7BwgA.jpg;Night time reflecting in Minnestimma Lake  Banff  Alberta  Canada;Cavan Images;jpeg;6000x4109;1666x1141;Niebo;1120.99;538.99;103
https://as1.ftcdn.net/jpg/02/81/29/18/500_F_281291856_s6ObkHkFsWLj8bFXdRE9fAjBLWc7toXc.jpg;France  Provence  Lavender fields with milky way at night;Westend61;jpeg;5500x3672;1687x1126;Niebo;2240.99;1120.99;84
https://as2.ftcdn.net/jpg/03/85/80/85/500_F_385808549_2Ocm0cTI6mSaiVTmXuKrmFWvHwcIsYEl.jpg;Starry night sky over illuminated tent pitched on shore of Bachalpsee lake at night;Matthias Aletsee\Westend61;jpeg;4912x6140;1233x1541;Niebo;2240.99;1120.99;90
https://as2.ftcdn.net/jpg/03/88/89/43/500_F_388894300_HAkV8xarmyZhSUr6PXPKjB1rqIQS7RBF.jpg;Moon over Palms;Scott Snyder Photography\Stocksy;jpeg;6000x4000;1688x1125;Niebo;1120.99;538.99;14
https://as2.ftcdn.net/jpg/03/88/15/53/500_F_388155352_tTDhwtJSwsRjeLhkpirvYWqqNxwwewyN.jpg;MOSCOW CITY NIGHT;Visual Scientist\Stocksy;jpeg;4500x2905;1716x1107;Niebo;1120.99;538.99;34
https://as2.ftcdn.net/jpg/03/91/37/51/500_F_391375121_lJlhDWZVcQ3ZJZucgyzZoOFoiAKyEbfq.jpg;Starry night;Yakov Knyazev\Stocksy;jpeg;8256x5504;1688x1125;Niebo;1120.99;538.99;25
https://as2.ftcdn.net/jpg/02/43/38/83/500_F_243388325_mmFcACbhyV98Gg1YW6HV0Vrgii4tAqpn.jpg;Scenic view of silhouette mountains against sky at night;Cavan Social;jpeg;5877x3923;1687x1126;Niebo;1120.99;538.99;41
