id;image;title;author;format;nazwa;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
122;https://as2.ftcdn.net/jpg/02/27/55/19/500_F_227551983_0uVXeSkHVyAiP4lPVsqngQnl5uJqYhuO.jpg;Young man in car in nighttime;jadiezlo\Stocksy;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;1120.99;538.99;8
123;https://as2.ftcdn.net/jpg/02/15/31/95/500_F_215319560_Ar2DyXjZaoZsCaJ3dYlQY1xGBIupdd8d.jpg;Male executive using starter of car;Wavebreak Media;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;91
124;https://as1.ftcdn.net/jpg/02/46/48/22/500_F_246482282_IMdG1MExq6kCEVAgWEYIFxkt1rKxk4ts.jpg;Apple blossoms on car;Gabriela Tulian;jpeg;Rozmiar;3840x5760;1125x1688;Samochody;2240.99;1120.99;83
125;https://as2.ftcdn.net/jpg/02/25/93/21/500_F_225932146_9mMehsx6ak0LQmAfiFvEidCNYNHkvsLv.jpg;Young woman in car;PhotoAlto;jpeg;Rozmiar;3508x5256;1126x1687;Samochody;2240.99;1120.99;87
126;https://as2.ftcdn.net/jpg/03/66/15/93/500_F_366159316_Stc1hWkjuOrzlSCPjkuoDTDAc0G73m1M.jpg;Mid adult woman with protective mask in car;Westend61;jpeg;Rozmiar;4201x6299;1126x1688;Samochody;2240.99;1120.99;29
127;https://as1.ftcdn.net/jpg/01/85/19/24/500_F_185192428_0W8caUOmMISUNux8TUSaYWB6T1rcD6B4.jpg;Detail of vintage car;Rowena Naylor Photography\Stocksy;jpeg;Rozmiar;3024x4032;1194x1592;Samochody;1120.99;538.99;38
128;https://as1.ftcdn.net/jpg/03/16/18/52/500_F_316185289_yARYZRfkCGce9KUckMt0WUVVQFlPag8P.jpg;Confident  cool Latinx young woman posing next to low rider car;Hero Images\Hero Images;jpeg;Rozmiar;6366x4244;1688x1125;Samochody;2240.99;1120.99;101
129;https://as1.ftcdn.net/jpg/02/33/66/48/500_F_233664808_4gcCOYmizGMKi5JbPnQcnmA9VABVohPi.jpg;Cheerful woman with arms raised standing in car against sky;Cavan for Adobe;jpeg;Rozmiar;5760x3840;1688x1125;Samochody;2240.99;1120.99;14
130;https://as1.ftcdn.net/jpg/03/59/99/52/500_F_359995213_uK1UBWMUHTxd7WcxBTlO6dUxSyrMxPzh.jpg;Three happy siblings in the back of a car;Clare Farrelly\Austockphoto;jpeg;Rozmiar;5616x3744;1688x1125;Samochody;1120.99;538.99;90
131;https://as1.ftcdn.net/jpg/02/88/00/24/500_F_288002461_2CtfBfFSIwLH0Gxk4pap661zB0f8LRUD.jpg;Woman talking with friend while driving car;Maskot;jpeg;Rozmiar;5700x3800;1688x1125;Samochody;2240.99;1120.99;46
132;https://as2.ftcdn.net/jpg/02/38/46/09/500_F_238460984_l4rNtwwywxaGOLCrYOuIES7ZVT3U18qc.jpg;Thoughtful young man sitting near old vintage car;Cavan Images;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;69
133;https://as1.ftcdn.net/jpg/03/10/75/96/500_F_310759612_ptNgCPjnSoJLtZuxhSAJkdtUoOxP0Rdf.jpg;Aerial view from drone open parking with colorful cars on a gray;Yaroslav Danylchenko\Stocksy;jpeg;Rozmiar;3982x2985;1592x1193;Samochody;1120.99;538.99;66
134;https://as2.ftcdn.net/jpg/03/82/26/49/500_F_382264942_TcSiPzU5ebGDlzrR4JEcYRlNcCUdhb20.jpg;red toy car;Juan Moyano\Stocksy;jpeg;Rozmiar;6175x4121;1687x1126;Samochody;1120.99;538.99;10
135;https://as2.ftcdn.net/jpg/03/66/14/61/500_F_366146166_go3vvTTBTJOdDwRQn0b1Nl004kfNm1bI.jpg;Black woman driving car;Tetra Images;jpeg;Rozmiar;5120x3413;1688x1125;Samochody;2240.99;1120.99;99
136;https://as2.ftcdn.net/jpg/01/86/72/43/500_F_186724351_A5mqqlqPQKCZy8ikamXLERbNaeh7a1ka.jpg;Man sitting in a vintage car;Mike Kemp\Tetra Images;jpeg;Rozmiar;5123x3415;1688x1125;Samochody;1120.99;538.99;91
137;https://as1.ftcdn.net/jpg/01/88/52/86/500_F_188528653_XWsCDLyaw2oH3Qoq9ogfxVNdE0ILBWiY.jpg;Woman in car agfter parking looking at camera and smiling;Antonio Recena;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;56
138;https://as2.ftcdn.net/jpg/03/31/35/67/500_F_331356755_NRShOfhl649KxwYDNS7mCJmKYew47EBK.jpg;1950's car driving along the Malecon on a sunny day  Havana  Cuba  Central America;Michael Marquand;jpeg;Rozmiar;6280x4792;1578x1204;Samochody;1120.99;538.99;60
139;https://as1.ftcdn.net/jpg/02/81/52/88/500_F_281528800_sDUm1sJomfXLk19gEetFaHT0HB0s7iWp.jpg;Portrait of woman standing by open car door in automobile repair shop;Mint Images;jpeg;Rozmiar;5130x3420;1688x1125;Samochody;1120.99;538.99;41
140;https://as1.ftcdn.net/jpg/02/02/31/06/500_F_202310616_pbaHD8kZiMOh5tY0ifiDcrHptH2cGAGw.jpg;Woman sitting in vintage car;ADDICTIVE STOCK;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;45
141;https://as2.ftcdn.net/jpg/01/93/73/89/500_F_193738927_5JsUwkvYpKL8t2SmEiBo3TlstfZgkZlg.jpg;Businesswoman holding smartphone while sitting in car ;HEX;jpeg;Rozmiar;5616x3744;1688x1125;Samochody;1120.99;538.99;60
142;https://as2.ftcdn.net/jpg/02/14/81/73/500_F_214817385_6PxZr2Le2tlNwm9UoenBenqkNBhcRanO.jpg;Smiling young woman sitting in car;Jessica Peterson\Tetra Images;jpeg;Rozmiar;5127x3418;1688x1125;Samochody;2240.99;1120.99;2
143;https://as2.ftcdn.net/jpg/02/20/42/43/500_F_220424359_VIIKeJ9e0pf8aSSQuGJ66QQPYNk4t2XE.jpg;Woman using mobile phone while charging electric car at charging;Wavebreak Media;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;82
144;https://as1.ftcdn.net/jpg/02/09/14/42/500_F_209144266_cadKHU8WwIfcn8opz0hair1wfpLdCohf.jpg;vintage car;Kirill Bordon photography\Stocksy;jpeg;Rozmiar;2035x3035;1129x1683;Samochody;1120.99;538.99;102
145;https://as1.ftcdn.net/jpg/02/25/93/12/500_F_225931289_YYkaVYHUp35SXTvowvil5Hvquj78bsw0.jpg;Smiling couple sitting in car;PhotoAlto;jpeg;Rozmiar;5256x3508;1687x1126;Samochody;2240.99;1120.99;60
146;https://as1.ftcdn.net/jpg/03/66/15/96/500_F_366159674_lKunoyHs4ZGyF3RI9M2dtQPgFGFJU4b6.jpg;Thoughtful woman with protective mask sitting in car boot outdoors;Westend61;jpeg;Rozmiar;6637x4422;1689x1125;Samochody;2240.99;1120.99;8
147;https://as2.ftcdn.net/jpg/02/93/86/15/500_F_293861547_gqIo36HljKUthI6xXG0IEKMwi7f3Q1jw.jpg;Bride getting into in her wedding car;Manu Prats\Stocksy;jpeg;Rozmiar;3407x5120;1124x1690;Samochody;1120.99;538.99;86
148;https://as1.ftcdn.net/jpg/03/16/18/16/500_F_316181603_BirjrWYOa8A6dYn82YZYZr7lsM3JEqjF.jpg;Latinx friends checking out engine of vintage car;Hero Images\Hero Images;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;2
149;https://as1.ftcdn.net/jpg/02/33/64/90/500_F_233649090_UmJ17Rgs386loxJaYxEiWIGQQvE754VQ.jpg;Low section of boy standing on skateboard;Cavan for Adobe;jpeg;Rozmiar;5472x3648;1688x1125;Samochody;2240.99;1120.99;27
150;https://as2.ftcdn.net/jpg/02/66/27/17/500_F_266271702_0AiJOLLekuyRg9XzrJzmPRTD9lfMBfV1.jpg;Young glamorous woman in retro car;Eve Saint-Ramon;jpeg;Rozmiar;7304x5478;1592x1194;Samochody;2240.99;1120.99;98
151;https://as2.ftcdn.net/jpg/02/77/96/15/500_F_277961531_snziY8u3N24vL7b0ysf1Na5IvNXoyPkh.jpg;Rear view of man in wheelchair getting into car;Maskot;jpeg;Rozmiar;5700x3800;1688x1125;Samochody;2240.99;1120.99;72
152;https://as1.ftcdn.net/jpg/02/92/00/98/500_F_292009867_bP0zfwAfbtHpy1sH0ool0GPB8Na2bDD3.jpg;Side view of young woman sitting in car;Cavan Images;jpeg;Rozmiar;5746x3836;1687x1126;Samochody;1120.99;538.99;99
153;https://as2.ftcdn.net/jpg/01/06/85/01/500_F_106850150_PDCGl8LApXkGPZIoTG8FwojIaPjPpz15.jpg;Family washing car in driveway;Mike Kemp\Blend Images;jpeg;Rozmiar;5123x3415;1688x1125;Samochody;2240.99;1120.99;86
154;https://as2.ftcdn.net/jpg/02/09/16/35/500_F_209163517_OsCwOYRPhg7JYJTfW4WRsMeZCyJnfsOt.jpg;Birds eye view of a road with a car;bisualstudio\Stocksy;jpeg;Rozmiar;4003x3000;1592x1193;Samochody;1120.99;538.99;78
155;https://as1.ftcdn.net/jpg/02/27/61/86/500_F_227618664_OARyLXccaT9wXs6PLrPHviuKINLf3HVH.jpg;Snowfall car details;zhushman\Stocksy;jpeg;Rozmiar;4896x3264;1688x1125;Samochody;1120.99;538.99;63
156;https://as1.ftcdn.net/jpg/03/90/19/48/500_F_390194841_V2GHGReVksQjE3i1SpIFhaRlBYR32fWN.jpg;Face mask hanging from rear view mirror inside car;STEVE SMITH\Tetra Images;jpeg;Rozmiar;5070x3380;1688x1125;Samochody;2240.99;1120.99;94
157;https://as1.ftcdn.net/jpg/03/07/47/68/500_F_307476888_lQ46ioSjx8s9VZUq3YXyohEZmqfPnTpP.jpg;Charging of an electric car;Luis Cerdeira\Stocksy;jpeg;Rozmiar;5760x3840;1688x1125;Samochody;1120.99;538.99;21
158;https://as2.ftcdn.net/jpg/03/18/14/05/500_F_318140576_V7ml4YQYSXx3kUhfsHQSnSkVfHxcbhvx.jpg;Close-Up Of Side-View Mirror Against Light Trails;kieran berry-campbell\EyeEm;jpeg;Rozmiar;2688x1792;1688x1125;Samochody;1120.99;538.99;88
159;https://as1.ftcdn.net/jpg/02/31/22/26/500_F_231222645_PybAfgUVd8tkYaxwYuEXGBwYyfOfrPj6.jpg;Parking lot from above.;Stocksy;jpeg;Rozmiar;4500x3001;1688x1126;Samochody;1120.99;538.99;40
160;https://as1.ftcdn.net/jpg/02/02/31/04/500_F_202310464_kOkLV1PZ3rtCXcWXjjiKNjxPueQFmtUN.jpg;Attractive women at green car;ADDICTIVE STOCK;jpeg;Rozmiar;6016x4016;1687x1126;Samochody;1120.99;538.99;31
161;https://as2.ftcdn.net/jpg/02/16/65/33/500_F_216653366_tjaWOpFpV7JdVgg9qYMFF3tI06Bcbn5L.jpg;Old vintage car;Fran Mart;jpeg;Rozmiar;4480x6720;1125x1688;Samochody;1120.99;538.99;19
162;https://as1.ftcdn.net/jpg/02/27/57/68/500_F_227576811_4ACFFArGb6FKJ0Zmup3CMKX7Z7nAgr3a.jpg;Yellow coloured taxi in the street of Kolkata;parthapal\Stocksy;jpeg;Rozmiar;5184x3456;1688x1125;Samochody;1120.99;538.99;55
163;https://as1.ftcdn.net/jpg/02/15/31/98/500_F_215319864_lWZmDDtQ3OxPx7meKYCWFW3LHZx2ddFE.jpg;Businessman driving a car;Wavebreak Media;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;39
164;https://as1.ftcdn.net/jpg/02/15/30/34/500_F_215303434_z4nsK6vlicAIQiDKIvnT6AQQoNEAAgWz.jpg;vintage car;Kirill Bordon photography\Stocksy;jpeg;Rozmiar;2035x3035;1129x1683;Samochody;1120.99;538.99;89
165;https://as2.ftcdn.net/jpg/03/77/40/87/500_F_377408739_9ZgGfg2y68f3Lshs4ySeKFM5G1jXxPXw.jpg;woman rearing her broken car;JAVIER PARDINA\Stocksy;jpeg;Rozmiar;8688x5792;1688x1125;Samochody;1120.99;538.99;97
166;https://as1.ftcdn.net/jpg/03/57/26/62/500_F_357266277_QAsMk3UiQP9cHCc8ZbP6cI0vdcuzlHu1.jpg;Carsharing  woman renting an electric car;Westend61;jpeg;Rozmiar;6600x4400;1688x1125;Samochody;2240.99;1120.99;35
167;https://as2.ftcdn.net/jpg/02/17/67/91/500_F_217679161_tuD4E8jh7DtftdeX1LqZ4Oi5pgrcQpq9.jpg;Professional service in luxury hotel;Blue Jean Images;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;1120.99;538.99;99
168;https://as1.ftcdn.net/jpg/02/36/51/26/500_F_236512666_41MpzoWD54RbaEFOn7IjAUmQ3xdXeSGZ.jpg;car ready for the holidays with tree and brown packages on top and firewood in the back seat;Nicole Mason\Stocksy;jpeg;Rozmiar;3596x5394;1125x1688;Samochody;1120.99;538.99;14
169;https://as2.ftcdn.net/jpg/02/33/63/23/500_F_233632319_9ildlxxyQoJwCB0TPPuzyVIwiDouMOoM.jpg;Stack of crushed cars on trailer at junkyard;Cavan for Adobe;jpeg;Rozmiar;4368x2912;1688x1125;Samochody;2240.99;1120.99;58
170;https://as1.ftcdn.net/jpg/02/22/83/56/500_F_222835684_yzk4FG3DaXQjlKjxQ4s0Kov4PPaZoufc.jpg;Femme en tenue retro dans une voiture ancienne;Eve Saint-Ramon;jpeg;Rozmiar;7952x5304;1688x1126;Samochody;2240.99;1120.99;56
171;https://as2.ftcdn.net/jpg/02/11/10/39/500_F_211103966_8DKrNNPMWA4oDhq2SizyHWE9yui7koXj.jpg;Portrait of mid adult man sitting in red car;Maskot;jpeg;Rozmiar;5700x3800;1688x1125;Samochody;2240.99;1120.99;5
172;https://as1.ftcdn.net/jpg/02/56/24/94/500_F_256249424_bJpIv1AfJGmgT1Bzkd5fBxfqDlAoUDQw.jpg;Smiling boy with blond hair sitting in car;Cavan Images;jpeg;Rozmiar;5472x3648;1688x1125;Samochody;1120.99;538.99;83
173;https://as1.ftcdn.net/jpg/03/16/17/84/500_F_316178489_pvHidzpKIVJfS1WS6wkL5nV82cOHnTAT.jpg;Confident Latinx young woman posing by low rider car in sunny parking lot;Hero Images\Hero Images;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;40
174;https://as2.ftcdn.net/jpg/01/86/72/49/500_F_186724983_u9f7igBdjfHIATp5NKVXktMGVivOArfv.jpg;Side view of woman opening a car hood in the forest;Jessica Peterson\Tetra Images;jpeg;Rozmiar;5165x3443;1688x1125;Samochody;2240.99;1120.99;91
175;https://as1.ftcdn.net/jpg/03/59/99/52/500_F_359995225_KwZi638LizY2IX0sO54yXD4I1q6wJNfT.jpg;Car park beside shopping center in town;Clare Farrelly\Austockphoto;jpeg;Rozmiar;4725x3542;1592x1193;Samochody;1120.99;538.99;98
176;https://as2.ftcdn.net/jpg/02/68/02/03/500_F_268020350_UJ53JkMDLAtGJ2oq1nrxQ6PacUbrGAFb.jpg;Cars on highway;Ivan Lai\Scopio;jpeg;Rozmiar;2992x3992;1193x1592;Samochody;2240.99;1120.99;74
177;https://as1.ftcdn.net/jpg/02/66/39/82/500_F_266398245_zn3KaYaVpCxeVHSKg9EF9tl9NHJjbAWQ.jpg;Old car in the street of Havana;Yakov Knyazev\Stocksy;jpeg;Rozmiar;4928x3280;1690x1125;Samochody;1120.99;538.99;68
178;https://as1.ftcdn.net/jpg/03/16/05/56/500_F_316055674_0fQyLGyXvQzCf6surNIPH3M5HvmqEvG5.jpg;Father giving son keys to vintage car in garage;Hero Images\Hero Images;jpeg;Rozmiar;5760x3840;1688x1125;Samochody;2240.99;1120.99;77
179;https://as1.ftcdn.net/jpg/02/33/22/84/500_F_233228460_WWn2yY49LFZQCEafGCRxDSiTOfZAC0NY.jpg;vintage car;Stocksy;jpeg;Rozmiar;3035x2285;1589x1196;Samochody;1120.99;538.99;27
180;https://as1.ftcdn.net/jpg/01/15/78/88/500_F_115788880_FB3ZieslmhFZPad3ouiv7orkdDbF1wB7.jpg;Side view of young woman pushing trolley full of purchases towards car park;Astrakan Images;jpeg;Rozmiar;5760x3840;1688x1125;Samochody;2240.99;1120.99;50
181;https://as1.ftcdn.net/jpg/02/27/59/30/500_F_227593083_iksBnRuRTfh7gcle7BhKA9VKi2RTz9ZX.jpg;Woman with sunglasses leaning at blue car;pavloffav\Stocksy;jpeg;Rozmiar;6422x4281;1688x1125;Samochody;1120.99;538.99;17
182;https://as2.ftcdn.net/jpg/03/60/56/33/500_F_360563365_Coefxjzqu9nqzlyhmhCm8vBVyrp5C1vE.jpg;Woman opening car door;Hero Images;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;16
183;https://as2.ftcdn.net/jpg/02/20/42/35/500_F_220423513_pbi5irh7dz1ZQFqxXDHyo8V6vxR34cDk.jpg;Couple interacting with each other while charging electric car ;Wavebreak Media;jpeg;Rozmiar;6720x4480;1688x1125;Samochody;2240.99;1120.99;9
184;https://as1.ftcdn.net/jpg/02/09/13/82/500_F_209138245_7zXgOVJR0f5Jirx9JNFM8LD80juGERaB.jpg;vintage car;Kirill Bordon photography\Stocksy;jpeg;Rozmiar;2035x3035;1129x1683;Samochody;1120.99;538.99;88
185;https://as1.ftcdn.net/jpg/02/27/56/76/500_F_227567647_NFdHn5Sd77MNpNiFYmSEybLldJmrQCZd.jpg;Rows of car filling parking lots;guillefaingold\Stocksy;jpeg;Rozmiar;4512x3008;1688x1125;Samochody;1120.99;538.99;98
186;https://as2.ftcdn.net/jpg/03/59/97/13/500_F_359971358_ZSD1KqgMVjqiLmXKNquVa3N3lYZsPkOo.jpg;Friends washing yellow vintage car in summer having fun;Westend61;jpeg;Rozmiar;4950x3598;1617x1175;Samochody;2240.99;1120.99;74
187;https://as1.ftcdn.net/jpg/03/00/37/92/500_F_300379230_x7ouszDj0n7gshviS4EgU9GMIvv8D5k1.jpg;Car salesman with documents examining a car;PhotoAlto;jpeg;Rozmiar;5256x3508;1687x1126;Samochody;2240.99;1120.99;93
188;https://as2.ftcdn.net/jpg/02/15/27/11/500_F_215271119_uxqoNv3CEtYcehHthtdo4h752s7GFPx0.jpg;Vintage car left to decay with moss growing.;Phillips Visuals\Stocksy;jpeg;Rozmiar;5760x3840;1688x1125;Samochody;1120.99;538.99;12
